jurisdiction,level,source_name,url,description,access,update_frequency,feasibility,feasibility_notes
Kentucky,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
Canada,national,Elections Canada – Official Voting Results,https://www.elections.ca/content.aspx?section=res&dir=rep/oth/ovr&document=index&lang=e,Certified federal election results down to riding level.,Open government data,Released after official tabulation (days to weeks).,High,Authoritative with CSV and machine-readable formats; slower than media projections.
Canada,national,CBC News Elections Dashboard,https://newsinteractives.cbc.ca/elections/,Live results and historical context for federal and provincial races.,Open web,Minutes during election night; archived thereafter.,Medium,Timely but requires scraping or manual download; APIs not public.
Ecuador,national,Reuters Elections Coverage – Ecuador,https://www.reuters.com/world/,Global wire-service election reporting with near-real-time updates.,Open web,Minutes during major elections.,Medium,Reliable narrative coverage; data extraction requires scraping and manual QA.
Ecuador,national,Local election commission (Ecuador),,Official jurisdiction election authority (URL to be verified per contest).,Varies,Certification timeline defined by statute.,Low,Research required to identify authoritative feed; placeholder for analyst follow-up.
Australia,national,Australian Electoral Commission Tally Room,https://tallyroom.aec.gov.au/,Official results for federal elections and referendums.,Open government data,Minutes during counts; certification after preference distribution.,High,Reliable JSON endpoints; timezone considerations for automation.
Australia,national,ABC News Elections Coverage,https://www.abc.net.au/news/elections/,Live race calls and swing analysis.,Open web,Minutes during election night.,Medium,Good context and alternative feed; scraping or manual export required.
South Korea,national,Reuters Elections Coverage – South Korea,https://www.reuters.com/world/,Global wire-service election reporting with near-real-time updates.,Open web,Minutes during major elections.,Medium,Reliable narrative coverage; data extraction requires scraping and manual QA.
South Korea,national,Local election commission (South Korea),,Official jurisdiction election authority (URL to be verified per contest).,Varies,Certification timeline defined by statute.,Low,Research required to identify authoritative feed; placeholder for analyst follow-up.
American Samoa,state,American Samoa election office,https://aselectionoffice.gov/,Certified statewide and county results plus candidate filings.,Official (open web),Nightly during canvass; certification per statutory calendar.,High,Authoritative counts with predictable publication cadence; may require PDF/CSV parsing.
American Samoa,state,Ballotpedia – American Samoa elections portal,https://ballotpedia.org/American_Samoa,"Aggregated election calendars, candidate rosters, and unofficial vote tallies.",Open web (CC BY-SA),Daily during election periods; slower off-cycle.,Medium,Rich historical context; manual scraping necessary for automated ingestion.
American Samoa,state,Decision Desk HQ Results Feed,https://results.decisiondeskhq.com/,Paid API for precinct and county level tallies across US states.,Commercial API,Minutes on election night; hourly thereafter.,High,Fast and structured but gated behind subscription and integration work.
